Unnamed: 0,label,MainText
56,ham,"k 2marrow coming class."
57,ham,"kallis wont bat 2nd innings."
58,ham,"meeting u work. . . tel shall work tomorrow�.that matters�"
59,phishing,"overcome programming challenge multicore learn technique scale reliability. attend intel session 3.45 pm microsoft community techdays"
60,ham,"haha, leg neck killing amigo hoping end night burn, think could swing like hour?"
61,ham,"every day use sleep &lt;#&gt; only."
62,ham,"sorry, urgent work.."
63,ham,"good morning plz call sir..i urgent work.."
64,ham,"oh shut it. omg yesterday dream 2 kid boys. pissed. kid boys. even told mark dream changing diaper cause i'm getting owed face."
65,ham,"ahhhh...just woken up!had bad dream u tho,so dont like u right :) didnt know anything comedy night guess im it."
66,ham,"hard believe thing like this. say lie think twice saying anything me."
67,ham,"wow think common. take back ur freak! unless u chop off:-)"
68,phishing,"5 free top polyphonic tone call 087018728737, national rate. get toppoly tune sent every week, text subpoly 81618, £3 per pole. unsub 08718727870."
69,ham,"yup msg me: tat yijue? tot group mate co meeting today mah... i'm askin ü leaving earlier wat mah co mayb ü haf walk v far..."
70,ham,"need get up. now."
71,phishing,"important customer service announcement. call freephone 0800 542 0825 now!"
72,ham,"howz pain?hope u r fine.."
73,ham,"love it! girl office may wonder smiling sore..."
74,phishing,"<forwarded 448712404000>please call 08712404000 immediately urgent message waiting you."
75,ham,"still working. time also tried adding zeros. savings. checking &lt;#&gt;"
76,ham,"how's things? quick question."
77,ham,"die... accidentally deleted e msg suppose 2 put e sim archive. haiz... sad..."
78,ham,"no, *didn't* mean post it. wrote it, like many time i've ritten stuff you, let sit there. feeling time. angry. left, hit send, stop. there. checked phone got car. there. said sleep, bored. time clean, fold laundry, etc.? least make bed?"
79,ham,"sorry missed call. please call back."
80,ham,"you. ages. how's abj"
81,ham,"enough trouble sleeping."
82,ham,"hello. going village pub 8 either come accordingly. ok?"
83,ham,"thnx dude. u guy 2nite?"
84,phishing,"noida commercial wave sec-18 silver @ 11500/- psf gold @ 12500/- psf, logix sec-124 @ 8200/- psf best deal call 9711131802 /3"
85,ham,"guy asking get slipper gone last year"
86,ham,"u guy never invite anywhere :("
87,phishing,"hmv bonus special 500 pound genuine hmv voucher won. answer 4 easy questions. send hmv 86688 info:www.100percent-real.com"
88,ham,"computer fried essential part keep spare idiot roommate looovvve leaving thing running full &lt;#&gt; /7"
89,ham,"hey sexy bun ! told ? adore you, loverboy. hope remember thank sister law meatball *grins* ... love you, babe"
90,phishing,"welcome uk-mobile-date msg free giving free calling 08719839835. future mg billed 150p daily. cancel send go stop 89123"
91,ham,"velly good, yes please!"
92,ham,"march ending, ready. call sure. problem capital never complete. far you. how's work lady"
93,phishing,"guaranteed £200 award even £1000 cashto claim ur award call free 08000407166 (18+) 2 stop getstop 88333 php"
94,ham,"jokin lar... :-) depends phone father get lor..."
95,ham,"thought slide enough."
96,ham,"im gonnamissu much!!i would say il send u postcard buttheres aboutas much chance merememberin asthere ofsi breakin contract!! luv yaxx"
97,ham,"dude go sup"
98,phishing,"contacted dating service someone know! find is, call land line 09050000928. pobox45w2tg150p"
99,ham,"shopping lor. raining mah hard 2 leave orchard."
100,ham,"what's oga. left phone home saw ur messages. hope good. great weekend."
101,ham,"need coffee run tomo?can't believe time week already"
102,ham,"oooh bed ridden ey? thinking of?"
103,ham,"ok problem get taxi. c ing tomorrow tuesday. tuesday think r going cinema."
104,ham,"ok... c ya..."
105,ham,"much buzy�.i don�t think"
106,phishing,"asked 3mobile 0870 chatlines inclu free mins. india cust servs sed yes. l8er got mega bill. 3 dont giv shit. bailiff due days. £250 3 want £800"
107,ham,"please give 2 pick tuesday evening 8 ok."
108,ham,"night worrying appt. shame missed girl night quiz popcorn hair."
109,ham,"ha ha ha good joke. girl situation seekers."
110,ham,"sir, waiting call."
111,ham,"yay! better told 5 girl either."
112,ham,"i'll b going 2 sch mon. si need 2 take smth."
113,ham,"yo there class tmrw right?"
114,ham,"painful personal thought- always try keep everybody happy time. nobody recognises alone"
115,phishing,"rct' thnq adrian u text. rgds vatian"
116,ham,"sure stomach ..."
117,phishing,"2nd time tried 2 contact u. u 750 pound prize. 2 claim easy, call 08712101359 now! 10p per min. bt-national-rate"
118,phishing,"enjoy jamster videosound gold club credit 2 new videosounds+2 logos+musicnews! get fun jamster.co.uk! 16+only help? call: 09701213186"
119,ham,"i'll let know kick"
120,ham,"yup, need. i'll jus wait 4 e rain 2 stop."
121,phishing,"ever thought living good life perfect partner? txt back name age join mobile community. (100p/sms)"
122,phishing,"dear paytm customer paytm kyc expired. contact customer care no-6200992462 immediately. account block within 24 hr. thank paytm team."
123,phishing,"0a$networks allow company bill sms, responsible suppliers, shop give guarantee sell. b. g."
124,ham,"planned yet :)going join company jan 5 only.don know happen that."
125,ham,"arm fine, how's cardiff uni?"
126,phishing,"oor step service passport assistance/pan card/income tax return/vat return/service tax return contact m/s ons 9650669988 jwala heri mkt paschim viha"
127,ham,"i'm really sorry b able 2 friday.hope u find alternative.hope yr term's going ok:-)"
128,ham,"ok come ur home half hour"
129,ham,"laptop take you."
130,ham,"s.i think waste rr.."
131,ham,"anyway seriously hit back otherwise light armand always shit and/or vomiting"
132,phishing,"pl: battle royale! gilchrist v warne today 8pm. click http://ipl.onmix.mobi/?src=504 ipl mobile. stop mix alert click http://onmix.mobi/alert"
133,ham,"dun need use dial juz open da browser n surf..."
134,ham,"call tell infront them. call now."
135,ham,"new theory: argument win situation, loses person. dont argue ur friend just.. . . . kick &amp; say, i'm always correct.!"
136,ham,"noe la... u wana pei bf oso rite... k lor, day den..."
137,ham,"hey gave photo registered driving ah? tmr wanna meet yck?"
138,ham,"done mean"
139,ham,"dont want hear anything"
140,ham,"kind of. took garage. centre part exhaust need replacing. part ordered n taking fixed tomo morning."
141,phishing,"freemsg hey u, got 1 video/pic fones, reply wild txt & ill send u pics, hurry im bored work xxx (18 150p/rcvd stop2stop)"
142,ham,"[…] anyway, many good evening u!"
143,ham,"ey! calm downon theacusations.. itxt u co iwana know wotu r doin thew/end... haventcn u ages..ring ur up4 nething sat.love j xxx."
144,ham,"ü takin linear algebra today?"
145,ham,"jan fast approaching. so, wish u happy new year happy sankranti happy republic day happy valentine day happy shivratri happy ugadi happy fool day happy may day happy independence day, happy friendship,mother,father,teachers,childrens day, &amp; happy birthday 4 u. happy ganesh festival happy dasara happy diwali happy christmas &lt;#&gt; good morning afternoons, evening nights. rememberi first wishing u these...your's raj"
146,ham,"really... tot ur paper ended long ago... wat u copied jus got use? u happy lar... still haf 2 study :-("
147,ham,"jus finish bathing..."
148,ham,"think mentor , 100 percent sure."
149,ham,"hamster dead? hey tmr meet 1pm orchard mrt?"
150,ham,"ok set let u noe e detail later..."
151,ham,"hope text meet smiling. let text give reason smile. beautiful day."
152,ham,"ok..lets find out�"
153,ham,"busy come point figure we're tomorrow"
154,ham,"thats cool. want please you..."
155,ham,"may call later pls"
156,phishing,"please call 08712402779 immediately urgent message waiting"
157,phishing,"text82228>> get ringtones, logo game www.txt82228.com. questions: info@txt82228.co.uk"
158,ham,"mobile number.pls sm ur mail id.convey regard achan,amma.rakhesh.qatar"
159,ham,"good morning plz call sir"
160,ham,"lol alright thinkin haha"
161,phishing,"87077: kick new season 2wks free goal & news ur mobile! txt ur club name 87077 eg villa 87077"
162,ham,"ok pa. nothing problem:-)"
163,ham,"alright omw, gotta change order half8th"
164,ham,"sorry mate phone didnt write love kate"
165,ham,"aight, see bit"
166,phishing,"know u u know me. send chat 86688 let's find other! 150p/msg rcvd. hg/suite342/2lands/row/w1j6hl ldn. 18 year over."
167,phishing,"plot available greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking start 30000/-onwards full down.instalments also.call 9213241451."
168,ham,"juswoke bed boatin docks. slept wid 25 year old. spinout! giv u da gossip l8r. xxx"
169,ham,"actually , whatever, find excuse tampa point january though"
170,phishing,"dear customer, due bvn system upgrade atm card de-activated, re-activate, kindly call customer care 08065635084 help."
171,ham,"yup... hey one day fri ask miwa jiayin take leave go karaoke"
172,ham,"yes! one woman man! please tell like dislike bed..."
173,ham,"work right ?"
174,phishing,"1 new voicemail. please call 0871918154."
175,ham,"4. let's go bill miller"
176,ham,"hi, wkend ok journey terrible. wk good huge back log marking"
177,ham,"k..u also dont msg reply msg.."
178,ham,"india win level series mean record:)"
179,ham,"living simple.. loving also simple.. laughing simple.. winning tooo simple.. but, 'simple' difficult...;-) :-)"
180,ham,"wot u 2 u weirdo?"
181,phishing,"want new video phone? 750 anytime network mins? half price line rental free text 3 months? reply call 08000930705 free delivery"
182,ham,"sometimes heart remembrs someone much... forgets someone soon... bcoz heart like everyone. liked one remembered everytime... bslvyl"
183,ham,"hmmm.but give one day.."
184,phishing,"u secret admirer. reveal think u r special. call 09065174042. opt reply reveal stop. 1.50 per msg recd. cust care 07821230901"
185,ham,"ever easier"
186,ham,"whenever see still hook too."
187,phishing,"u r entitled update latest colour mobile camera free! call mobile update co free 08002986030"
188,phishing,"discount code rp176781. stop message reply stop. www.regalportfolio.co.uk. customer service 08717205546"
189,ham,"attended nothing there."
190,phishing,"tried contact reply offer 750 min 150 textand new video phone call 08002988890 reply free delivery tomorrow"
191,ham,"hey, look like wrong one kappa guy number still phone, want text see he's around"
192,ham,"8 latest, g's still scrounge ammo want give new ak try"
193,ham,"good morning pookie pie! lol hope wake u"
194,phishing,"congratulation ur awarded either £500 cd gift voucher & free entry 2 £100 weekly draw txt music 87066 tncs www.ldew.com"
195,ham,"know lab goggles went"
196,phishing,"free2day sexy st george's day pic jordan!txt pic 89080 dont miss out, pocketbabe.co.uk 0870241182716"
197,ham,"hope alright babe? worry might felt bit desparate learned job fake ? waiting come back, love"
198,ham,"fujitsu series lifebook good?"
199,ham,"uncle timi help clearing car"
200,ham,"greeting me, ! consider excused."
201,ham,"tunde, doing. wishing great day. abiola."
202,ham,"hahaha..use brain dear..that work here�"
203,ham,"hi darlin ive got back really nice night thanks much lift see u tomorrow xxx"
204,phishing,"urgent! mobile no. awarded £2000 bonus caller prize 5/9/03 final try contact u! call landline 09064019788 box42wr29c, 150ppm"
205,ham,"ill &lt;#&gt; ok."
206,ham,"buying today? ü need c meh..."
207,ham,"babe ? lost ... try rebooting ?"
208,phishing,"u secret admirer looking 2 make contact u-find r*reveal think ur special-call 09058094565"
209,ham,"i'm ok wif co like 2 try new things. scared u dun like mah. co u said loud."
210,ham,"thk u dun haf 2 hint e forum already lor... co told ron n darren going 2 tell shuhui."
211,ham,"hey... inconvenient si huh?"
212,ham,"busy here. trying finish new year. looking forward finally meeting you..."
213,ham,"oic co n si got lunch today dad went out... dunno whether 2 eat sch wat..."
214,phishing,"free entry £250 weekly comp send word enter 84128 now. 18 t&c www.textcomp.com cust care 08712405020."
215,ham,"food"
216,ham,"japanese proverb: one it, u it, none it,u must indian version: one it, let it.. none it,leave it!!"
217,ham,"yes, princess. toledo."
218,ham,"k..give back thanks."
219,ham,"okay me. well thanks clarification"
220,ham,"pete,is phone still? jenny college leanne.what now?:)"
221,ham,"sure yet, still trying get hold"
222,ham,"i'm okay. chasing dream. what's good. next."
223,ham,"use soc... use home... ü dunno 2 type word ar..."
224,phishing,"gr8 poly tone 4 mob direct 2u rply poly title 8007 eg poly breathe1 titles: crazyin, sleepingwith, finest, ymca :getzed.co.uk pobox365o4w45wq 300p"
225,ham,"lol would despite cramp like girl."
226,ham,"r still meeting 4 dinner tonight?"
227,phishing,"please call 08712402902 immediately urgent message waiting you."
228,ham,"say fantastic chance, anything need bigger life lift losing 2 live, think would first person 2 die n v q?"
229,phishing,"dear 0776xxxxxxx u've invited xchat. final attempt contact u! txt chat 86688 150p/msgrcvdhg/suite342/2lands/row/w1j6hl ldn 18yrs"
230,ham,"finished work yet something?"
231,ham,"i'm meeting, call later 4"
232,phishing,"thanks ringtone order, reference number x29. mobile charged 4.50. tone arrive please call customer service 09065989180"
233,ham,"oh god. i'm almost home"
234,phishing,"name theresa & 7.3milion dollar transfer charity work help poor one ur place india. contact memea.theresamarie@gmail.com"
235,phishing,"tried contact reply offer video phone 750 anytime network min half price line rental camcorder reply call 08000930705"
236,ham,"den weekday got special price... haiz... cant eat liao... cut nail oso muz wait finish drivin wat, lunch still muz eat wat..."
237,ham,"ok would b lovely, u r sure. think wot u want do, drinkin, dancin, eatin, cinema, in, out, about... u! wot ?"
238,ham,"ur physic get a-?"
239,ham,"single single answer fighting? plus said broke didnt reply"
240,ham,"lol yes. friendship hanging thread cause u buy stuff."
241,ham,"u too..."
242,ham,"account refilled successfully inr 100.00; . keralacircle prepaid account balance rs.101.00 ; . transaction id kr 3567 ."
243,ham,"sorry. never hear unless book it. one kinda joke--thet really looking skinny white girls. one line--you much camera that. something like they're casting look."
244,ham,"current food here. alone also"
245,ham,"hmm thinking lor..."
246,ham,"hope ur head hurt 2 much ! ploughing way pile ironing ! staying chinky tonight come round like."
247,phishing,"urgent! mobile number awarded £2000 prize guaranteed. call 09058094455 land line. claim 3030. valid 12hrs"
248,ham,"think chennai well settled?"
249,ham,"hi happy birthday. hi hi hi hi hi hi hi"
250,ham,"good morning. repair shop--the reason i'm hour."
251,ham,"u say leh... course nothing happen lar. say v romantic jus bit lor. thk e nite scenery nice leh."
252,ham,"that's rude, campus?"
253,ham,"u see posted facebook?"
254,ham,"world famamus...."
255,phishing,"want new video handset? 750 time network mins? unlimited text? camcorder? reply call 08000930705 del sat"
256,phishing,"today voda number ending 5226 selected receive ?350 award. hava match please call 08712300220 quoting claim code 1131 standard rate app"
257,ham,"aight ill get fb couple minute"
258,ham,"make cry. stuff happens top everything else, push edge. underdtand often cry sorry, sorry life."
259,phishing,"winner!! valued network customer selected receivea £900 prize reward! claim call 09061701462. claim code kl345."
260,ham,"u sending home first ok lor. i'm ready yet."
261,ham,"aiyah e rain like quite big leh. drizzling least run home."
262,ham,"hello! how's saturday go? texting see decided anything tomo. i'm trying invite anything!"
263,ham,"yeah, probably earlier"
264,ham,"r home coming within 20 min"
265,ham,"printer cool. mean groovy. wine groovying"
266,ham,"necessarily expect done get back though i'm headin"
267,ham,"sorry, left phone upstairs. ok, might hectic would bird one fell swoop. date."
268,ham,"lasting much 2 hours. might get lucky."
269,ham,"package program well"
270,ham,"see shadow. get early spring yay"
271,phishing,"urgent! dear fl1pkart customer, trying contact you. last weekend draw show w0n rs.2,00,000 prize guaranteed. call 6299257179. claim code flip02. valid 12hrs only."
272,phishing,"please call customer service representative 6200992462 10am-9pm w0n guaranteed cash prize rs.8,00,000 fl1pkart team"
273,phishing,"get garden ready summer free selection summer bulb seed worth £33:50 scotsman saturday. stop go2 notxt.co.uk"
274,ham,"sure, whenever show"
275,ham,"oh god. i'm gonna google nearby cliff now."
276,ham,"babe? said 2 hour almost 4 ... internet ?"
277,ham,"....photoshop make computer shut down."
278,ham,"hey told name gautham ah?"
279,ham,"new car house parents.:)i new job hand:)"
280,ham,"k actually guy meet sunoco howard? right way"
281,ham,"hey doing. reply pa.."
282,ham,"meet ü 5.. 4 depends ü wan 2 lor.."
283,ham,"hi email address changed"
284,ham,"plm come da. way."
285,phishing,"dear voucher holder, claim week offer, pc please go http://www.wtlp.co.uk/text. ts&cs apply."
286,ham,"ü wait 4 bus stop aft ur lect lar. dun c ü go get car come back n pick ü."
287,ham,"dont think need yellow card uk travel. ask someone gone before. &lt;#&gt; buck"
288,ham,"hey going lo lesson gym?"
289,ham,"new theory: argument win situation, loses person. dont argue ur loved ones�."
290,ham,"abj serving. staying dad alone."
291,ham,"nope i'm drivin... neva develop da photo lei..."
292,ham,"home always chat"
293,ham,"ok. c u then."
294,phishing,"chance reality fantasy show call = 08707509020 20p per min ntt ltd"
295,ham,"sorry sir, call tomorrow. senthil.hsbc"
296,ham,"might come kerala 2 days.so prepared take leave finalise .dont plan travel visit.need finish urgent works."
297,ham,"pls dont forget study"
298,ham,"one day crab running sea shore..the wave came n cleared footprint crab.. crab asked: frnd r u clearing beautiful footprints? wave replied: fox following ur footprint catch you! thats cleared off:) frndsship never let u dwn :-) gud nyt.."
299,ham,"ok. sure time tho sure get library class. try. see point! good eve."
300,ham,"willing go aptitude class."
301,ham,"wat's da decision?"
302,ham,"fr'ndship like needle clock. though v r clock, v r nt able 2 met. evn v meet,itz 4few seconds. bt v alwys stay conected. gud 9t;-)"
303,ham,"well there's pattern emerging friend telling drive come smoke telling i'm weed fiend/make smoke much/impede thing see i'm hesitant"
304,ham,"ok... bag again.."
305,ham,"cool. like swimming? pool jacuzzi house."
306,ham,"great! hope like man well endowed. &lt;#&gt; inches..."
307,ham,"aight i've set free, think could text blake's address? occurs i'm quite sure i'm thought"
308,phishing,"winner u specially selected 2 receive £1000 cash speak live operator 2 claim 0871277810810"
309,ham,"ok wun b angry. msg u aft come home tonight."
310,ham,"trying figure i'm suppose see couple different people week. said we'd get together set date"
311,ham,"yar lor wait 4 mum 2 finish sch lunch lor... whole morning stay home clean room room quite clean... hee..."
312,ham,"much payed. suganya."
313,ham,"still game?"
314,ham,"k k:) sm chat me."
315,ham,"great. hope using connection mode men also co never know old friend lead today"
316,ham,"world's happiest frnds never characters... dey best understanding differences..."
317,ham,"sorry delay. yes master"
318,ham,"cool, shall go see, go tip anyway. home, got something drop later? let go town tonight! maybe mum take u in."
319,ham,"hurt me... tease me... make cry... end life die plz keep one rose grave say miss u"
320,ham,"realy sorry-i recognise number confused :) r u please?!"
321,ham,"gud ni8 dear..sleep well�"
322,phishing,"want new video handset? 750 time network mins? unlimited text? camcorder? reply call 08000930705 del sat"
323,phishing,"thanks 4 continued support question week enter u in2 draw 4 £100 cash. name new u president? txt an 80082"
324,ham,"huh got lesson 4 lei n thinkin going sch earlier n tot parkin kent vale..."
325,ham,"may call later please..i busy ryt nw�"
326,ham,"sorry flaked last night, shit's seriously goin roommate, tonight?"
327,ham,"too! lovely night xxx"
328,ham,"k..k...from tomorrow onwards started ah?"
329,ham,"part checking iq"
330,ham,"yes appt again?"
331,ham,"call; see facebook huh?"
332,ham,"cant pick phone right now. busy"
333,phishing,"unsubscribed services. get ton sexy babe hunk straight phone! go http://gotbabes.co.uk. subscriptions."
334,ham,"registered shijo payee. log icicibank.com enter urn confirm. beware frauds."
335,phishing,"u secret admirer looking 2 make contact u-find r*reveal think ur special-call 09065171142-stopsms-08"
336,ham,"meant middle left right?"
337,ham,"dont know oh. hopefully month."
338,ham,"hi there. moved in2 pub . would great 2 c u u cud come up."
339,ham,"started searching get job days.he great potential talent."
340,ham,"u look 4 da lib got stuff havent finish yet."
341,ham,"problem. walk around julianaland oblivious going around you. say thing constantly go one ear go whatever want do. know i'm upset--it's listen tell going upset me. want surprised i'm mad."
342,ham,"yeah that's thought, lemme know anything's goin later"
343,ham,"dont hesitate. know second time weakness like that. keep notebook eat day anything changed day sure nothing"
344,ham,"tonight mate. catching sleep. new number way."
345,ham,"alrite"
346,ham,"still chance there. search hard get it..let try :)"
347,ham,"free call sir. waiting you."
348,ham,"thanks looking me. really appreciate."
349,ham,"k i'm ready, &lt;#&gt; ?"
350,ham,"yup. thk u oso boring wat."
351,ham,"cool tyler take we're gonna buy drop place later tonight. total order quarter, got enough?"
352,ham,"oh yes speak txt 2 u no! hmm. u get email?"
353,ham,"cheer u tex mecause u werebored! yeah okden hunny r uin wk sat?sounds likeyour havin gr8fun j! keep updat countinlots loveme xxxxx."
354,phishing,"urgent! dear fl1pkart customer, trying contact you. last weekend draw show w0n rs.5,00,000 prize guaranteed. call 7044518857. claim code flip82. valid 12hrs only."
355,ham,"shant disturb u anymore... jia you..."
356,ham,"dad wanted talk apartment got late start, omw"
357,ham,"keep seeing weird shit bein woah realising actually reasonable i'm oh"
358,ham,"office around 4 pm. going hospital."
359,ham,"hey j! r u feeling better, hopeso hunny. amnow feelin ill & ithink may tonsolitusaswell! damn iam layin bedreal bored. lotsof luv xxxx"
360,ham,"haha kidding, papa need drug"
361,ham,"lol could starve lose pound end day."
362,ham,"table's occupied, i'm waiting tree"
363,ham,"thanx u darlin!im cool thanx. bday drink 2 nite. 2morrow off! take care c u soon.xxx"
364,ham,"love one law; make happy person love. way friendship one law; never make ur friend feel alone alive.... gud night"
365,ham,"idea"
366,ham,"i'm office . call &lt;#&gt; min:)"
367,ham,"pas dis ur contact n see wat u get! red;i'm luv wid u. blue;u put smile face. purple;u r realy hot. pink;u r swt. orange;i thnk lyk u. green;i realy wana go wid u. yelow;i wnt u bck. black;i'm jealous u. brown;i miss nw plz giv one color"
368,ham,"no. thank you. wonderful"
369,phishing,"randomly selected bestbuy gift. get $1000 gift card www.bestbuy.com.your-a-winner.net/?id-ichrfcycylck"
370,ham,"sleeping..and surfing�.free time�"
371,ham,"one interested. may business plan."
372,phishing,"bmo noticed unusual activites online account. required verify account details.www.97bmo.tk"
373,ham,"yo guess dropped"
374,ham,"let this, want house 8am."
375,ham,"can't describe lucky i'm actually awake noon"
376,ham,"keep ten r shelf:) buy two egg."
377,ham,"e admin building there? might b slightly earlier... i'll call u i'm reaching..."
378,ham,"miss vday parachute double coins??? u must know well..."
379,phishing,"tax refund �349.14 ready claimed. access refund, follow step required. http:/bit.do/claim-tax"
380,phishing,"guaranteed £1000 cash £2000 prize. claim yr prize call customer service representative 08714712394 10am-7pm"
381,ham,"hi, mobile no. 8623458765 added contact list www.fullonsms.com great place send free sm people visit fullonsms.com"
382,phishing,"goldviking (29/m) inviting friend. reply yes-762 no-762 see him: www.sms.ac/u/goldviking stop? send stop frnd 62468"
383,phishing,"dear v0daf0ne customer,you 5,00,000 winner guaranteed caller prize, final attempt contact you! claim call 7908807538 now!"
384,phishing,"rediscover deeper meaning life mean attain true peace. understand essence true sikh. sm join gurubani 09219592195"
385,phishing,"freemsg>fav xmas tones!reply real"
386,ham,"how's going? got exciting karaoke type activity planned? i'm debating whether play football eve. feeling lazy though."
387,ham,"yep, pretty sculpture"
388,ham,"tessy..pls favor. pls convey birthday wish nimya..pls dnt forget it. today birthday shijas"
389,phishing,"dating service asked 2 contact u someone shy! call 09058091870 revealed. pobox84, m26 3uz 150p"
390,ham,"apo mokka player"
391,ham,"home also."
392,phishing,"loan purpose £500 - £75,000. homeowner + tenant welcome. previously refused? still help. call free 0800 1956668"
393,ham,"since when, side, fever, vomitin."
394,ham,"yunny... i'm goin late"
395,ham,"hi babe u r likely bed im sorry tonight! really wanna see u tomorrow call 9. love xxx"
396,ham,"no. specialisation. work slave labor. look month sha co shakara 4 beggar."
397,ham,"great escape. fancy bridge need lager. see tomo"
398,ham,"yo, i'm parents' gettin cash. good news: picked downstem"
399,ham,"hi baby im cruisin girl friend r u 2? give call hour home thats alright fone fone love jenny xxx"
400,phishing,"urgent 2nd attempt contact u. £900 prize yesterday still awaiting collection. claim call 09061702894"
401,ham,"geeeee ... internet really bad today, eh ?"
402,phishing,"number 365,000 pound two mobile phone ongoing cocacola/uk promo. contact mr. billy: cocacolaclaimsoffice@yahoo.com +447014233755"
403,ham,"mode men left."
404,ham,"right brah, see later"
405,ham,"come home. want u miserable"
406,ham,"ok lor... buy wat?"
407,ham,"eat old airport road... 630 oredi... got lot pple..."
408,ham,"u early?"
409,ham,"gudnite....tc...practice going"
410,phishing,"want new nokia 3510i colour phone deliveredtomorrow? 300 free minute mobile + 100 free text call 08000930705"
411,ham,"nice talking you! please dont forget pix :) want see you..."
412,ham,"alright we're hooked up, guy"
413,phishing,"free entry 2 wkly comp win fa cup final tkts 21st may 2005. text fa 87121 receive entry question call 08452810075"
414,ham,"okie..nice hear that.."
415,phishing,"loan purpose even bad credit! tenant welcome. call noworriesloans.com 08717111821"
416,ham,"arun u transfr amt"
417,ham,"wen get spiritual deep. that's great"
418,ham,"sorry,in meeting i'll call later"
419,ham,"thx. well month"
420,ham,"wat r u doing? call"
421,ham,"sir, waiting mail."
422,ham,"huh lei..."
423,ham,"get ready moan scream :)"
424,ham,"st andre, virgil's cream"
425,ham,"pls speak me. wont ask anything friendship."
426,ham,"i‘ve got salt, rub open wound like!"
427,phishing,"449050000301 £2,000 price! claim, call 09050000301."
428,ham,"one best dialogue cute reltnship..!! wen die, dont come near body..!! bcoz hand may come 2 wipe ur tear time..!gud ni8"
429,ham,"probably earlier station's think"
430,ham,"hey u still gym?"
431,ham,"jus hope true missin co i'm really missin him! done anything feel guilty about, yet."
